bitrh_dates	pups_born	pups_beforeW	weaned_f	weaned_m
18.01.2011	6	6	2	4
30.11.2010	8	9	5	4
19.10.2010	8	9	2	7
08.03.2011	2	3	1	2
22.02.2011	8	9	6	3
04.01.2011	4	3	0	3
23.11.2010	7	3	1	2
19.10.2010	8	7	5	2
18.01.2011	6	7	2	5
30.11.2010	10	9	4	5
19.10.2010	11	11	7	4
22.03.2011	7	5	4	1
02.11.2010	7	6	4	2
02.11.2010	5	5	3	2
01.02.2011	8	8	6	2
30.11.2010	9	9	3	6
19.10.2010	6	5	3	2
08.02.2011	7	7	4	3
14.12.2010	10	11	7	4
01.03.2011	6	7	5	2
18.01.2011	2	2	1	1
02.11.2010	9	7	2	5
18.01.2011	8	7	2	5
23.11.2010	7	5	1	4
03.05.2011	6	6	4	2
15.03.2011	8	8	0	8
11.01.2011	5	5	2	3
07.12.2010	3	3	0	3
19.10.2010	7	7	3	4
15.02.2011	8	6	3	3
21.12.2010	6	4	2	2
26.10.2010	7	8	6	2
15.03.2011	6	6	3	3
11.01.2011	9	6	2	4
16.11.2010	7	7	4	3
25.01.2011	5	5	1	4
21.12.2010	6	4	2	2
02.11.2010	9	9	5	4
22.02.2011	4	4	3	1
12.01.2011	7	7	5	2
23.11.2010	7	6	4	2
05.04.2011	4	5	1	4
18.01.2011	9	7	3	4
21.12.2010	6	4	1	0
02.11.2010	7	6	2	4
01.02.2011	7	3	2	1
21.12.2010	10	10	3	7
26.10.2010	6	6	4	2
15.02.2011	5	5	2	3
11.01.2011	8	8	4	4
09.11.2010	4	6	4	2
15.02.2011	7	7	2	5
21.12.2010	5	5	1	4
02.11.2010	8	8	4	4
26.10.2010	9	8	5	3
15.03.2011	4	4	2	2
18.01.2011	7	7	2	5
07.12.2010	5	6	1	5
12.04.2011	4	4	3	1
22.02.2011	4	2	0	2
21.12.2010	3	5	4	1
04.10.2011	7	7	5	2
12.07.2011	6	10	6	4
07.06.2011	11	10	3	7
19.04.2011	9	7	4	3
09.08.2011	8	10	3	7
24.05.2011	7	8	4	4
12.04.2011	5	4	1	3
16.01.2012	6	7	5	2
28.11.2011	4	11	7	4
19.10.2011	6	6	2	4
13.09.2011	7	8	3	5
09.08.2011	7	7	3	4
11.07.2011	8	9	6	3
30.05.2011	3	3	2	1
12.04.2011	8	8	2	6
17.05.2011	5	5	2	3
29.03.2011	6	5	4	1
29.08.2011	4	2	1	1
02.08.2011	8	7	3	4
07.06.2011	6	8	3	5
07.06.2011	6	6	4	2
19.04.2011	9	9	6	3
04.06.2012	2	2	0	2
01.05.2012	4	4	4	0
23.03.2012	8	8	2	6
07.02.2012	6	11	7	4
27.12.2011	4	4	2	2
21.11.2011	7	11	5	6
19.10.2011	14	14	9	5
03.01.2012	8	8	2	6
03.04.2012	2	2	2	0
10.01.2012	3	3	2	1
28.11.2011	4	4	1	3
04.10.2011	7	6	2	4
13.09.2011	5	4	0	4
09.08.2011	3	4	2	2
19.12.2011	3	3	2	1
07.11.2011	4	7	5	2
29.08.2011	6	6	3	3
02.08.2011	3	3	1	2
07.06.2011	6	6	2	4
26.04.2011	6	8	2	6
19.07.2011	6	5	3	2
03.05.2011	8	4	4	0
29.03.2011	5	5	2	3
22.02.2012	7	7	3	4
16.12.2011	5	5	1	4
15.11.2011	4	6	4	2
17.10.2011	6	6	2	4
04.10.2011	8	8	3	5
30.08.2011	8	8	4	4
26.07.2011	15	13	8	5
21.11.2011	6	3	2	1
17.10.2011	8	8	2	6
06.09.2011	4	3	0	3
12.07.2011	7	7	1	6
10.05.2011	7	11	8	3
22.03.2011	7	11	5	6
15.11.2011	3	3	1	2
30.05.2011	8	10	5	5
22.03.2011	9	4	3	1
22.03.2011	6	7	3	4
07.11.2011	6	5	0	5
20.09.2011	8	8	4	4
09.08.2011	8	7	4	3
26.07.2011	7	7	3	4
15.06.2011	8	10	2	8
26.04.2011	10	10	5	5
24.05.2011	7	9	7	2
12.04.2011	8	6	3	3
15.03.2011	5	4	2	2
05.03.2012	8	8	5	3
05.12.2011	12	11	8	3
15.11.2011	6	2	1	1
04.10.2011	12	12	6	6
23.08.2011	4	4	2	2
26.07.2011	13	13	3	10
20.09.2011	9	9	5	4
12.07.2011	8	8	4	4
24.05.2011	4	4	1	3
26.04.2011	5	5	1	4
22.03.2011	7	7	6	1
08.02.2011	3	9	6	3
15.06.2011	7	4	2	2
27.04.2011	5	5	0	0
22.03.2011	8	7	4	3
15.06.2012	4	6	2	4
23.03.2012	5	5	2	3
27.12.2011	4	4	2	2
21.11.2011	3	3	0	3
15.11.2011	7	10	5	5
20.09.2011	8	8	2	6
13.09.2011	4	4	2	2
30.08.2011	4	4	2	2
26.07.2011	7	8	8	0
09.05.2012	10	11	6	5
14.06.2011	7	11	5	0
19.04.2011	10	8	4	4
15.02.2011	8	8	5	3
24.05.2011	6	5	3	2
29.03.2011	8	8	4	4
08.02.2011	8	6	4	2
23.03.2012	3	3	1	2
19.12.2011	2	2	2	0
05.12.2011	4	3	1	2
21.11.2011	6	4	4	0
17.10.2011	12	14	8	6
30.08.2011	8	8	6	2
22.02.2013	4	4	1	3
07.01.2013	6	5	3	2
27.09.2012	4	4	1	3
03.09.2012	8	9	6	3
04.07.2012	11	11	5	6
15.02.2011	3	3	2	1
16.11.2010	6	4	3	1
08.03.2011	8	7	1	6
25.01.2011	4	4	1	3
14.12.2010	8	8	3	5
26.10.2010	3	3	3	0
15.02.2011	8	5	3	2
30.11.2010	4	7	2	5
04.01.2011	6	5	1	4
08.02.2011	8	6	3	3
14.12.2010	8	6	1	5
19.10.2010	8	8	3	5
08.03.2011	5	5	4	1
18.01.2011	5	3	1	2
07.12.2010	6	7	4	3
30.11.2010	3	3	1	2
01.02.2011	5	5	3	2
14.12.2010	5	5	2	3
26.10.2010	6	5	2	3
09.11.2010	8	8	2	6
08.02.2011	7	7	2	5
07.12.2010	7	6	3	3
02.11.2010	11	11	1	10
04.01.2011	4	4	2	2
09.11.2010	9	8	2	6
14.12.2010	8	9	7	2
26.10.2010	8	8	1	7
19.10.2010	8	10	5	5
26.10.2010	7	7	4	3
14.05.2012	10	7	3	4
10.01.2012	4	11	2	9
05.12.2011	5	5	2	3
21.11.2011	7	7	5	2
17.10.2011	12	12	4	8
12.07.2012	7	7	3	4
08.06.2012	6	6	5	1
10.04.2012	5	5	1	4
23.03.2012	5	5	2	3
07.02.2012	6	6	2	4
07.02.2012	7	8	3	5
31.01.2012	6	6	4	2
03.01.2012	8	8	5	3
21.11.2011	6	11	4	7
07.11.2011	4	5	4	1
11.10.2011	8	8	1	7
30.08.2011	8	11	4	7
03.04.2012	7	7	2	5
05.03.2012	5	5	5	0
31.01.2012	6	6	3	3
05.12.2011	8	5	3	2
17.10.2011	5	5	3	2
04.10.2011	5	12	6	6
30.08.2011	8	11	6	5
28.11.2011	3	3	0	3
15.02.2013	8	4	2	2
27.12.2012	12	12	6	6
16.11.2012	11	11	6	5
05.09.2012	9	11	8	3
13.08.2012	10	10	6	4
06.07.2012	6	6	2	4
27.09.2012	8	5	3	2
12.07.2012	2	2	0	2
17.05.2011	5	5	2	3
08.03.2011	5	5	3	2
18.01.2011	5	5	3	2
14.12.2010	9	9	2	7
03.05.2011	6	9	4	5
08.03.2011	4	3	2	1
18.01.2011	9	9	3	6
14.12.2010	4	4	1	3
16.11.2010	6	6	4	2
07.06.2011	5	5	1	4
26.04.2011	10	10	6	4
15.03.2011	5	5	3	2
08.02.2011	8	9	6	3
28.12.2010	8	9	5	4
16.11.2010	7	7	4	3
12.04.2011	5	5	3	2
15.02.2011	7	7	4	3
04.01.2011	7	7	5	2
16.11.2010	5	6	4	2
17.05.2011	7	7	4	3
22.03.2011	6	5	3	2
14.12.2010	8	9	7	2
14.06.2011	7	7	4	3
19.04.2011	8	7	4	3
08.03.2011	8	3	3	0
10.01.2011	8	8	5	3
14.12.2010	5	5	3	2
16.11.2010	6	7	5	2
11.01.2011	8	8	5	3
30.11.2010	8	9	0	9
03.05.2011	5	6	1	5
08.03.2011	8	8	5	3
11.01.2011	9	9	5	4
30.11.2010	8	9	4	5
26.04.2011	8	9	3	6
01.03.2011	8	8	3	5
18.01.2011	9	8	4	4
07.12.2010	3	3	0	3
16.11.2010	4	2	1	1
10.05.2011	9	10	2	8
15.03.2011	8	7	5	2
11.01.2011	9	9	2	7
23.11.2010	5	5	2	3
31.01.2012	4	4	3	1
05.12.2011	4	4	3	1
21.11.2011	6	7	4	3
20.09.2011	7	7	6	1
06.09.2011	3	3	2	1
02.08.2011	10	10	3	7
27.06.2011	11	11	5	6
02.05.2011	5	5	0	0
27.06.2011	8	8	0	0
10.05.2011	5	4	2	2
24.05.2011	5	5	0	5
23.08.2011	8	8	5	3
12.07.2011	5	5	2	3
20.06.2011	3	3	0	0
10.05.2011	7	7	3	4
07.06.2011	3	3	2	1
06.09.2011	8	8	6	2
02.08.2011	8	9	6	3
15.06.2011	9	9	5	4
15.06.2011	10	10	0	0
10.05.2011	7	6	2	4
04.10.2011	6	6	2	4
29.08.2011	8	5	4	1
02.08.2011	9	13	5	8
15.06.2011	10	9	6	3
15.06.2011	6	6	0	0
10.05.2011	8	12	5	7
10.05.2011	4	4	2	2
13.03.2012	7	7	4	3
28.11.2011	10	10	6	4
11.10.2011	11	11	4	7
09.08.2011	5	4	1	3
12.07.2011	8	9	5	4
17.05.2011	6	5	3	2
12.04.2011	7	6	2	4
13.02.2012	2	2	2	0
27.12.2011	2	2	1	1
10.05.2011	6	7	2	5
10.01.2012	4	4	2	2
21.11.2011	7	5	2	3
04.10.2011	9	9	5	4
29.08.2011	7	8	5	3
12.07.2011	6	8	3	5
30.05.2011	5	3	1	2
10.05.2011	7	6	3	3
12.04.2011	5	5	1	4
24.05.2011	8	8	5	3
12.04.2011	4	4	1	3
21.12.2011	7	4	1	3
15.11.2011	6	7	5	2
19.10.2011	3	3	2	1
06.09.2011	8	13	7	6
26.07.2011	12	8	3	5
07.06.2011	4	8	4	4
12.04.2011	9	9	4	5
07.06.2011	11	11	4	7
12.04.2011	7	7	4	3
19.04.2011	6	6	2	4
19.12.2011	3	3	0	3
17.10.2011	9	4	2	2
13.09.2011	6	10	5	5
26.07.2011	8	10	6	4
10.05.2011	3	3	2	1
05.04.2011	6	6	3	3
26.04.2011	5	7	3	4
10.05.2011	10	9	7	2
22.03.2011	5	6	2	4
08.02.2011	6	3	1	2
17.10.2011	5	4	2	2
06.09.2011	3	10	5	5
26.07.2011	7	6	0	6
27.12.2011	6	5	2	3
11.11.2011	6	7	4	3
17.10.2011	5	5	3	2
06.09.2011	7	7	3	4
09.08.2011	7	6	2	4
26.07.2011	8	9	3	6
15.06.2011	7	4	3	1
24.05.2011	6	6	2	4
26.04.2011	5	5	3	2
15.03.2011	8	7	4	3
08.02.2011	9	5	1	4
30.11.2010	4	3	2	1
18.01.2011	6	4	2	2
30.11.2010	6	6	3	3
08.02.2011	8	7	2	5
14.12.2010	3	3	3	0
02.11.2010	8	5	2	3
18.01.2011	6	6	4	2
23.11.2010	10	9	3	6
14.12.2010	5	5	3	2
15.03.2011	6	5	0	5
21.12.2010	7	7	3	4
19.10.2010	4	3	2	1
01.02.2011	7	6	1	5
21.12.2010	6	6	2	4
09.11.2010	3	3	2	1
16.11.2010	7	7	3	4
08.02.2011	6	6	3	3
12.01.2011	3	3	0	0
14.12.2010	6	4	2	2
19.10.2010	5	5	3	2
25.01.2011	7	6	2	4
14.12.2010	6	7	6	1
19.10.2010	3	3	1	2
08.02.2011	4	3	1	2
04.01.2011	4	2	0	2
16.11.2010	10	9	9	0
02.11.2010	6	6	3	3
14.12.2010	9	10	5	5
19.10.2010	11	11	0	5
18.01.2011	5	4	3	1
23.11.2010	6	6	4	2
18.01.2011	6	5	2	3
07.12.2010	3	4	2	2
08.02.2011	8	7	2	0
21.12.2010	7	7	4	3
02.11.2010	8	6	4	2
08.02.2011	6	5	3	2
07.12.2010	9	9	4	0
26.10.2010	11	5	2	3
25.01.2011	5	5	2	3
09.11.2010	9	9	1	8
18.01.2011	6	5	3	2
14.12.2010	7	7	4	3
11.01.2011	7	6	3	3
16.11.2010	8	7	3	4
14.12.2010	8	7	3	4
19.10.2010	11	11	4	7
02.11.2010	10	9	4	5
19.10.2010	8	8	5	3
25.01.2011	3	3	1	2
21.12.2010	2	2	2	0
16.11.2010	8	7	2	5
17.05.2011	3	3	3	0
29.03.2011	9	9	4	5
08.02.2011	8	8	0	0
14.12.2010	4	4	2	2
26.10.2010	3	3	1	2
22.03.2011	3	2	1	1
08.02.2011	10	12	3	9
14.12.2010	7	9	5	4
19.10.2010	6	6	2	4
07.12.2010	6	5	4	1
19.10.2010	6	6	2	4
08.02.2011	8	8	5	3
14.12.2010	8	8	7	1
26.10.2010	8	7	3	4
03.05.2011	4	4	2	2
29.03.2011	5	5	2	3
08.02.2011	8	7	5	2
14.12.2010	10	8	5	3
26.10.2010	10	10	3	7
14.12.2010	6	6	3	3
16.11.2010	2	5	3	2
08.02.2011	6	4	2	2
07.12.2010	6	6	3	3
02.11.2010	10	8	5	3
25.01.2011	2	2	2	0
07.12.2010	7	7	1	6
19.10.2010	10	10	5	5
08.03.2011	5	4	2	2
08.02.2011	3	3	2	1
04.01.2011	10	7	5	2
09.11.2010	7	2	2	0
18.01.2011	10	8	6	2
14.12.2010	9	10	6	4
26.10.2010	10	10	5	5
25.01.2011	2	2	1	1
07.12.2010	6	5	1	4
26.10.2010	9	9	7	2
01.02.2011	7	4	1	3
04.01.2011	9	8	3	5
19.10.2010	8	8	6	2
11.01.2011	8	8	5	3
23.11.2010	9	9	4	5
15.02.2011	6	7	3	4
28.12.2010	8	9	4	5
02.11.2010	10	10	6	4
18.01.2011	4	4	3	1
28.12.2010	4	2	1	1
07.06.2011	9	6	2	4
29.03.2011	6	7	3	4
28.12.2010	9	9	4	5
26.04.2011	7	8	0	8
01.03.2011	4	7	2	5
04.01.2011	7	9	4	5
23.11.2010	5	5	3	2
02.11.2010	2	2	1	1
08.02.2011	5	5	3	2
04.01.2011	5	5	3	2
16.11.2010	5	7	2	5
07.06.2011	6	6	4	2
08.02.2011	10	8	4	4
07.12.2010	6	6	4	2
19.10.2010	8	9	5	4
08.02.2011	6	6	2	4
14.12.2010	8	8	5	3
02.11.2010	7	6	4	2
18.01.2011	4	3	2	1
26.10.2010	6	6	5	1
02.11.2010	8	8	6	2
01.02.2011	6	7	4	3
16.11.2010	9	9	7	2
14.12.2010	10	7	5	2
19.10.2010	2	8	3	5
14.06.2011	8	5	2	3
26.04.2011	5	5	4	1
08.03.2011	9	6	6	0
18.01.2011	3	5	1	4
28.12.2010	9	8	3	5
23.11.2010	9	9	3	6
29.03.2011	7	6	1	5
22.02.2011	4	4	2	2
21.12.2010	7	9	2	7
09.11.2010	8	1	1	0
17.05.2011	7	5	1	4
08.03.2011	7	7	0	7
08.02.2011	3	3	3	0
07.12.2010	8	7	3	4
15.02.2011	7	2	2	0
04.01.2011	6	6	0	6
16.11.2010	6	6	2	4
15.02.2011	4	4	2	2
11.01.2011	6	6	4	2
16.11.2010	8	8	6	2
26.04.2011	5	2	1	1
15.03.2011	6	5	3	2
18.01.2011	2	6	1	5
09.11.2010	11	12	7	5
01.02.2011	4	7	1	6
23.11.2010	6	6	1	5
15.02.2011	9	10	8	2
28.12.2010	5	5	4	1
16.11.2010	11	10	6	4
15.06.2011	9	7	1	6
27.04.2011	7	7	0	0
01.02.2011	8	10	5	5
14.12.2010	8	7	1	6
02.11.2010	4	4	2	2
08.03.2011	5	5	0	5
11.01.2011	4	4	2	2
07.12.2010	5	3	2	1
15.03.2011	10	8	6	2
18.01.2011	10	9	6	3
23.11.2010	3	12	7	5
19.04.2011	5	6	3	3
25.01.2011	7	7	3	4
23.11.2010	6	7	4	3
28.12.2010	9	7	3	4
09.11.2010	9	7	4	3
17.05.2011	7	7	3	4
29.03.2011	9	10	5	5
01.02.2011	8	9	7	2
07.12.2010	8	8	3	5
15.03.2011	7	7	6	1
25.01.2011	6	6	3	3
09.11.2010	7	7	4	3
10.05.2011	6	8	4	4
08.03.2011	8	8	4	4
18.01.2011	9	9	5	4
23.11.2010	12	12	7	5
12.04.2011	6	2	1	1
15.03.2011	5	5	2	3
18.01.2011	6	6	3	3
07.12.2010	6	6	2	4
19.10.2010	7	6	2	4
03.05.2011	5	3	1	2
08.03.2011	8	6	4	2
18.01.2011	8	8	2	6
23.11.2010	9	9	3	6
19.04.2011	4	1	0	1
15.02.2011	5	5	2	3
28.12.2010	9	8	5	3
09.11.2010	8	8	3	5
01.03.2011	2	2	1	1
18.01.2011	5	4	1	3
07.12.2010	8	9	4	5
19.10.2010	10	8	4	4
29.03.2011	10	10	8	2
08.02.2011	8	10	5	5
23.11.2010	4	4	3	1
07.12.2010	7	7	4	3
31.01.2013	4	4	0	4
07.12.2012	8	8	4	4
26.10.2012	15	13	6	7
11.09.2012	6	6	2	4
20.08.2012	9	9	7	2
09.07.2012	6	7	5	2
30.05.2012	6	8	4	4
21.03.2013	5	5	3	2
07.02.2013	8	7	3	4
15.12.2012	6	9	3	6
16.10.2012	5	4	1	3
03.09.2012	6	4	3	1
20.08.2012	4	8	4	4
26.10.2012	8	8	0	8
11.09.2012	6	6	1	5
11.09.2012	6	6	4	2
27.08.2012	3	3	0	0
07.08.2012	7	7	2	5
05.07.2012	6	8	5	3
05.07.2012	6	9	2	7
04.06.2012	6	6	3	3
09.07.2012	6	8	5	3
30.05.2012	6	10	6	4
16.04.2013	5	7	4	3
17.01.2013	7	4	2	2
06.12.2012	10	10	8	2
26.10.2012	10	4	4	0
11.09.2012	5	5	1	4
03.09.2012	6	9	6	3
16.07.2012	6	9	6	3
15.06.2012	4	4	3	1
04.06.2012	1	1	1	0
31.01.2013	7	3	3	0
23.05.2013	6	5	3	2
05.04.2013	9	5	1	4
15.02.2013	8	8	4	4
22.12.2012	9	9	2	7
29.11.2012	4	5	3	2
16.11.2012	8	3	3	0
11.09.2012	5	5	2	3
03.09.2012	8	10	5	5
20.07.2012	6	11	4	7
07.03.2013	5	5	1	4
07.12.2012	1	1	1	0
16.11.2012	12	8	4	4
12.10.2012	8	7	3	4
27.09.2012	8	8	4	4
27.08.2012	9	9	5	4
20.07.2012	10	8	4	4
12.03.2013	6	6	1	5
27.12.2012	4	4	4	0
27.09.2012	4	4	3	1
20.07.2012	7	4	3	1
22.02.2013	3	3	3	0
17.01.2013	3	4	2	2
29.11.2012	7	7	5	2
16.10.2012	12	12	7	5
03.09.2012	6	6	3	3
07.08.2012	5	5	2	3
07.01.2013	6	5	0	5
08.11.2012	3	2	0	2
05.10.2012	6	7	2	5
11.09.2012	6	6	5	1
27.08.2012	10	10	5	5
20.07.2012	10	10	5	5
06.12.2012	3	2	2	0
16.11.2012	4	4	3	1
31.01.2013	5	5	2	3
15.12.2012	4	4	2	2
08.11.2012	5	5	5	0
22.09.2012	8	11	4	7
27.08.2012	7	7	6	1
20.08.2012	7	7	5	2
08.07.2012	11	11	6	5
08.08.2013	5	5	2	3
13.06.2013	4	4	2	2
24.05.2013	7	7	4	3
22.04.2013	8	8	5	3
26.03.2013	6	4	0	4
22.02.2013	10	10	6	4
24.01.2013	8	9	5	4
15.12.2012	6	12	3	9
28.06.2013	7	6	4	2
13.03.2013	4	4	4	0
05.07.2013	5	4	1	3
10.05.2013	5	5	1	4
05.04.2013	7	8	4	4
15.02.2013	6	7	3	4
01.02.2013	3	3	2	1
13.12.2012	5	6	6	0
26.10.2012	6	7	2	5
24.05.2013	5	5	2	3
15.12.2012	8	7	0	7
05.11.2012	6	6	2	4
31.05.2013	11	9	5	4
16.04.2013	6	10	4	6
07.03.2013	8	8	3	5
17.01.2013	8	10	2	8
07.12.2012	10	10	2	8
26.10.2012	13	10	5	5
02.05.2013	8	8	2	6
13.03.2013	10	9	6	3
31.01.2013	6	6	2	4
15.12.2012	6	6	3	3
26.10.2012	7	9	5	4
07.12.2012	7	7	0	7
09.04.2013	8	8	4	4
22.02.2013	8	8	3	5
15.02.2013	8	9	4	5
27.12.2012	5	4	2	2
06.12.2012	9	9	4	5
07.03.2013	7	5	3	2
17.01.2013	5	4	2	2
17.01.2013	8	8	4	4
06.12.2012	7	7	2	5
16.11.2012	6	6	2	4
03.05.2013	6	6	1	5
18.07.2013	7	6	0	6
31.05.2013	4	4	2	2
22.04.2013	8	8	3	5
07.03.2013	11	12	3	9
07.02.2013	8	8	7	1
27.12.2012	6	7	4	3
