bitrh_dates	pups_born	pups_beforeW	weaned_f	weaned_m
09.10.2016	2	2	0	2
04.05.2017	3	3	2	1
20.03.2017	7	7	2	0
05.02.2017	6	6	2	4
27.08.2017	8	8	4	4
05.06.2017	7	7	3	4
19.10.2017	1	1	0	0
26.09.2017	7	7	0	5
02.08.2017	7	7	3	4
21.06.2017	3	2	2	0
05.06.2017	4	4	2	2
19.04.2017	2	1	1	0
14.08.2017	1	1	1	0
29.06.2017	5	5	2	3
29.04.2017	5	5	0	0
13.03.2017	2	2	1	1
22.07.2017	2	2	0	0
21.06.2017	8	8	2	0
08.05.2017	7	7	3	4
14.03.2017	6	6	3	3
28.08.2017	9	9	0	5
02.07.2017	9	9	4	5
24.05.2017	4	4	3	0
02.05.2017	10	10	5	4
08.04.2017	4	4	0	0
18.03.2017	6	6	1	0
25.10.2017	5	9	0	3
01.10.2017	10	9	4	5
08.08.2017	1	7	4	3
27.06.2017	4	4	0	0
13.05.2017	6	6	3	0
19.04.2017	7	7	3	4
03.10.2017	4	4	0	0
10.09.2017	6	6	3	3
01.08.2017	13	13	9	4
05.06.2017	9	9	4	5
10.07.2017	4	4	0	0
19.06.2017	7	7	0	0
06.01.2019	6	6	0	0
15.12.2018	7	7	3	4
09.11.2018	3	2	2	0
13.10.2018	8	8	2	4
27.08.2018	8	8	0	0
04.08.2018	6	6	4	2
09.01.2019	7	7	0	5
17.12.2018	6	6	3	3
31.10.2018	6	6	3	3
06.10.2018	8	8	2	5
28.08.2018	7	7	3	4
04.08.2018	7	7	6	1
10.10.2018	10	10	3	5
27.08.2018	5	5	1	4
19.07.2018	4	2	0	2
01.06.2018	9	9	5	0
22.12.2018	8	8	5	3
06.11.2018	8	10	3	7
02.09.2018	7	7	3	3
16.07.2018	5	5	0	0
24.06.2018	8	8	3	5
30.05.2018	9	9	3	6
27.08.2018	3	4	0	0
05.08.2018	7	7	3	3
24.06.2018	7	7	4	3
31.05.2018	7	7	4	3
15.12.2018	7	7	1	6
24.10.2018	10	10	0	0
09.09.2018	9	11	5	6
20.07.2018	7	3	0	3
24.06.2018	10	10	3	7
01.06.2018	8	8	4	4
06.01.2019	7	7	0	0
13.10.2018	9	9	3	6
27.08.2018	9	9	5	3
03.08.2018	8	7	3	4
12.09.2018	8	8	4	4
06.08.2018	8	8	6	2
22.02.2018	3	3	0	0
31.01.2018	5	5	3	2
11.01.2018	2	2	0	2
10.04.2018	3	3	0	0
19.03.2018	4	4	1	3
27.02.2018	1	1	0	0
14.01.2018	10	10	4	0
11.03.2018	5	5	1	4
22.01.2018	9	9	4	0
13.12.2017	4	4	0	0
16.11.2017	8	8	3	5
07.06.2018	7	7	4	0
16.04.2018	3	3	0	3
23.03.2018	8	8	6	2
03.03.2018	1	1	0	0
09.02.2018	4	4	1	0
15.01.2018	9	9	3	5
11.12.2017	2	2	1	1
16.11.2017	4	4	3	0
29.10.2017	3	2	2	0
07.10.2017	7	7	4	3
02.05.2018	2	2	0	0
06.04.2018	4	4	4	0
07.01.2018	7	7	3	4
18.12.2017	3	3	0	0
24.11.2017	9	9	0	0
02.11.2017	6	6	0	0
10.10.2017	6	3	3	0
10.08.2018	6	6	2	4
23.06.2018	9	8	3	5
09.05.2018	5	5	1	4
13.04.2018	5	5	3	2
24.03.2018	5	5	2	0
26.08.2018	5	5	1	4
30.07.2018	10	10	6	4
18.06.2018	6	8	2	6
28.05.2018	6	5	3	2
02.05.2018	9	9	6	3
24.03.2018	8	8	2	2
11.08.2018	6	6	3	3
02.07.2018	7	7	6	1
18.05.2018	8	7	2	5
24.04.2018	3	3	1	2
13.03.2018	2	2	0	0
16.02.2018	9	9	6	0
22.01.2018	10	10	3	5
02.05.2018	9	9	6	3
16.03.2018	6	6	2	4
29.01.2018	5	5	2	3
31.12.2017	6	6	2	0
07.12.2017	4	4	0	0
15.11.2017	3	3	1	0
03.01.2018	3	3	2	1
11.12.2017	7	5	2	3
16.11.2017	7	7	3	0
08.10.2017	10	9	2	7
01.04.2018	2	2	0	0
05.02.2018	7	7	4	0
09.12.2017	9	8	2	6
29.10.2017	5	5	3	2
08.10.2017	4	4	1	3
11.05.2019	8	8	4	4
29.03.2019	7	7	4	0
08.02.2019	4	4	3	1
14.01.2019	8	8	3	5
22.12.2018	7	7	3	4
29.10.2018	7	6	0	6
24.05.2019	7	7	2	3
11.03.2019	6	6	2	4
28.01.2019	9	8	3	5
04.01.2019	7	7	4	3
04.01.2019	7	6	3	3
11.12.2018	7	7	4	3
01.11.2018	10	10	5	5
20.01.2019	5	5	3	0
07.12.2018	6	6	4	2
11.02.2019	9	10	5	5
30.12.2018	6	6	3	0
11.04.2019	9	9	0	0
19.03.2019	11	10	5	5
05.02.2019	9	9	5	4
30.12.2018	3	3	1	0
30.08.2019	8	9	5	4
06.07.2019	7	7	4	3
29.10.2019	2	2	0	0
16.09.2019	9	9	2	5
21.08.2019	7	7	6	1
29.07.2019	10	9	5	4
06.07.2019	9	8	5	3
22.09.2019	7	7	3	4
02.08.2019	6	6	0	0
08.07.2019	10	10	5	5
05.03.2020	4	4	3	1
18.01.2020	2	2	0	1
12.11.2019	10	10	3	3
22.10.2019	7	7	3	4
19.08.2019	6	6	4	0
06.07.2019	7	7	3	4
04.10.2019	4	4	0	0
08.09.2019	5	5	2	3
07.07.2019	7	7	5	2
19.06.2019	2	2	0	0
26.05.2019	4	4	2	2
13.04.2019	6	7	2	5
19.09.2019	6	6	3	3
09.07.2019	10	10	7	3
24.05.2019	9	8	4	4
08.04.2019	4	4	0	0
07.05.2019	11	11	6	5
09.04.2019	6	6	0	0
15.04.2020	2	2	0	0
06.03.2020	3	3	0	0
20.01.2020	8	8	5	3
07.09.2020	5	5	5	0
01.07.2019	4	4	0	0
06.06.2019	11	11	5	5
13.04.2019	7	7	3	0
27.02.2019	8	9	6	3
15.08.2019	4	4	0	0
24.07.2019	4	3	0	0
30.06.2019	6	5	0	5
17.05.2019	9	7	3	4
23.04.2019	12	12	5	5
11.03.2019	8	8	3	5
18.02.2019	6	6	3	3
02.08.2019	6	6	4	1
17.06.2019	3	3	0	0
25.05.2019	6	6	1	5
09.04.2019	10	10	0	0
26.02.2019	9	9	5	4
30.12.2018	8	8	1	7
26.03.2020	2	4	1	3
05.03.2020	4	4	1	3
15.01.2020	2	2	0	0
19.12.2019	8	8	8	0
23.11.2019	6	6	5	0
30.10.2019	7	7	2	3
05.01.2020	7	7	0	0
22.11.2019	5	6	2	3
29.10.2019	8	8	5	3
20.08.2020	3	3	2	0
30.07.2020	4	4	0	0
06.07.2020	8	8	3	3
27.04.2020	13	13	8	5
06.04.2020	4	4	0	0
14.03.2020	8	8	2	5
17.02.2020	3	3	3	0
22.05.2020	13	13	5	5
19.02.2020	7	7	0	7
30.03.2020	3	3	0	0
08.03.2020	3	3	3	0
12.04.2020	6	6	5	1
25.03.2020	1	1	0	0
03.02.2020	4	4	0	0
14.01.2020	6	6	3	3
23.11.2019	6	6	4	2
30.10.2019	7	7	4	3
29.10.2019	2	2	0	1
04.08.2020	6	6	1	5
05.06.2020	11	11	3	8
15.04.2020	7	7	5	1
02.03.2020	6	6	3	3
09.02.2020	11	11	3	8
27.12.2019	8	8	2	3
05.12.2019	6	7	5	0
24.03.2020	3	3	1	2
07.02.2020	8	8	7	1
28.12.2019	8	8	7	1
04.12.2019	8	9	5	4
01.10.2020	5	5	0	0
07.09.2020	8	8	2	6
20.07.2020	5	5	3	2
28.06.2020	6	6	4	2
09.06.2020	2	2	1	1
15.09.2020	2	2	0	0
05.06.2020	8	8	3	5
25.09.2020	5	5	0	0
01.09.2020	8	8	3	5
08.08.2020	5	5	1	4
18.07.2020	3	3	0	0
05.06.2020	5	6	1	5
14.05.2020	11	11	3	4
23.04.2020	5	5	4	1
01.04.2020	6	6	1	5
06.03.2020	6	7	4	3
12.02.2020	8	8	5	2
18.04.2020	10	10	0	0
10.03.2020	4	4	2	1
15.02.2020	8	8	0	0
04.10.2020	8	8	0	0
06.09.2020	6	6	2	4
01.10.2020	7	7	0	0
05.09.2020	7	7	5	2
10.10.2020	2	2	0	0
17.09.2020	7	7	3	4
25.08.2020	5	5	1	4
