bitrh_dates	pups_born	pups_beforeW	weaned_f	weaned_m
11.06.2018	11	11	4	0
20.05.2018	7	7	2	5
14.06.2019	13	13	9	0
23.05.2019	2	2	0	0
06.05.2019	5	5	3	0
12.04.2019	13	13	7	4
21.03.2019	13	13	3	0
10.02.2019	5	5	1	4
23.01.2019	7	7	5	2
25.05.2019	10	10	4	0
01.05.2019	12	12	4	0
10.04.2019	14	14	8	4
16.03.2019	15	15	10	0
21.02.2019	14	14	7	0
29.01.2019	9	9	4	5
09.01.2019	14	13	5	0
10.07.2019	8	9	6	0
18.06.2019	11	12	4	0
27.04.2019	5	5	1	0
04.04.2019	18	18	8	4
15.03.2019	5	5	4	0
24.02.2019	11	11	7	4
12.01.2019	15	15	6	0
08.08.2019	2	2	1	0
25.05.2019	13	13	8	0
28.04.2019	13	13	7	0
04.04.2019	12	12	8	4
18.02.2019	17	17	8	0
24.01.2019	15	15	8	5
02.01.2019	14	14	5	0
11.08.2019	7	8	3	0
02.07.2019	9	9	7	0
21.05.2019	13	13	10	0
11.04.2019	15	15	6	4
06.03.2019	4	4	1	0
15.02.2019	17	18	10	0
22.01.2019	11	11	4	7
07.01.2020	8	8	4	0
16.12.2019	11	11	5	4
22.11.2019	10	10	5	0
16.10.2019	8	8	3	4
04.09.2019	15	15	5	0
25.07.2019	13	13	5	4
26.03.2020	6	6	2	0
11.02.2020	7	7	2	0
17.01.2020	9	9	4	0
24.12.2019	11	11	8	0
28.11.2019	12	12	3	0
01.11.2019	11	12	6	0
07.10.2019	13	13	6	4
11.09.2019	15	15	7	0
18.08.2019	14	13	4	9
24.07.2019	10	10	7	3
30.01.2020	6	6	0	0
17.12.2019	9	9	5	4
26.11.2019	6	6	4	0
04.11.2019	11	11	6	4
22.09.2019	18	17	5	0
03.09.2019	20	20	14	1
08.08.2019	15	15	6	0
19.07.2019	13	13	6	4
02.10.2020	12	12	0	0
21.08.2020	10	10	4	5
26.07.2020	10	10	3	5
02.07.2020	11	11	5	5
08.06.2020	15	15	5	0
10.05.2020	15	15	8	4
17.04.2020	14	14	7	4
24.03.2020	14	14	10	0
01.03.2020	14	14	7	0
06.02.2020	11	11	10	0
17.01.2020	6	6	1	0
07.10.2020	7	7	0	0
17.09.2020	7	7	2	5
03.08.2020	12	12	6	5
20.06.2020	12	12	6	0
29.05.2020	15	15	6	5
04.05.2020	17	17	3	14
24.03.2020	13	13	5	0
02.03.2020	14	14	5	0
30.05.2020	2	2	1	0
25.04.2020	3	3	1	2
10.04.2020	2	2	1	0
25.07.2020	2	2	0	0
27.05.2020	1	1	1	0
12.10.2020	11	11	0	0
29.08.2020	13	13	6	5
03.08.2020	11	11	6	5
11.07.2020	12	12	7	5
19.06.2020	2	2	2	0
03.10.2020	13	13	0	0
13.09.2020	16	16	4	5
31.07.2020	14	14	5	5
10.07.2020	15	15	7	5
26.05.2020	13	13	8	5
30.09.2020	10	10	0	0
07.09.2020	15	15	4	0
16.08.2020	12	12	3	5
25.07.2020	12	14	6	5
30.06.2020	13	13	6	5
26.05.2020	6	6	3	3
14.09.2020	6	6	0	0
22.08.2020	13	13	6	5
31.07.2020	8	8	5	0
09.07.2020	13	13	5	5
12.06.2020	10	10	5	0
25.05.2020	14	14	6	5
09.02.2020	10	10	2	0
19.01.2020	9	9	7	0
30.12.2019	13	13	4	0
05.12.2019	16	16	8	4
14.11.2019	19	19	7	0
23.10.2019	13	13	9	4
30.09.2019	19	19	10	0
06.09.2019	13	13	6	0
14.08.2019	18	16	8	0
25.07.2019	14	15	8	4
11.05.2020	2	2	0	0
27.03.2020	8	8	3	0
05.03.2020	8	8	5	0
10.02.2020	9	9	5	0
16.01.2020	11	11	8	0
19.12.2019	15	15	9	4
23.11.2019	15	15	8	0
