bitrh_dates	pups_born	pups_beforeW	weaned_f	weaned_m
26.10.2010	2	2	1	1
23.11.2010	1	1	1	0
08.02.2011	4	4	1	3
04.01.2011	4	4	0	4
21.12.2010	9	5	3	2
04.01.2011	6	5	3	2
14.12.2010	8	3	0	3
02.11.2010	4	3	2	1
14.12.2010	2	2	1	1
28.12.2010	8	7	3	4
09.11.2010	6	6	2	4
02.11.2010	9	9	3	6
29.03.2011	10	6	3	3
01.03.2011	11	11	7	4
08.02.2011	8	8	4	4
04.07.2011	8	15	7	8
03.05.2011	7	8	4	4
01.03.2011	5	5	3	2
04.01.2011	6	6	3	3
14.12.2010	6	8	6	2
30.11.2010	9	8	3	5
19.10.2010	7	7	3	4
08.03.2011	7	9	6	3
08.02.2011	8	7	2	5
08.06.2011	9	9	7	2
22.02.2012	8	8	0	8
08.11.2011	4	3	0	3
12.09.2011	11	12	8	4
02.08.2011	7	7	2	5
08.08.2011	11	11	8	3
18.07.2011	8	6	6	0
08.06.2011	4	3	2	1
01.02.2011	7	5	2	3
04.01.2011	9	9	5	4
30.11.2010	10	10	7	3
02.11.2010	8	9	4	5
05.04.2011	6	10	5	5
08.03.2011	5	9	5	4
08.06.2011	7	7	5	2
19.04.2011	6	3	3	0
01.03.2011	4	4	1	3
08.02.2011	8	11	4	7
21.12.2010	9	9	6	3
23.11.2010	7	4	4	0
02.11.2010	9	10	6	4
04.07.2011	7	5	2	3
29.03.2011	7	6	3	3
08.02.2011	7	8	3	5
02.08.2011	7	11	7	4
10.05.2011	5	5	4	1
19.04.2011	7	6	5	1
01.03.2011	5	5	1	4
01.02.2011	8	10	4	6
30.11.2010	11	12	2	10
02.11.2010	9	8	6	2
30.05.2011	8	8	4	4
10.05.2011	4	4	2	2
19.04.2011	9	11	5	6
01.03.2011	9	9	4	5
01.02.2011	8	8	3	5
17.09.2012	6	9	2	7
07.08.2012	6	6	3	3
09.07.2012	6	11	1	10
19.06.2012	6	6	3	3
18.05.2012	6	8	8	0
02.05.2012	5	5	3	2
28.03.2012	7	7	2	5
03.01.2012	3	4	4	0
26.09.2011	7	7	5	2
22.08.2011	6	6	2	4
15.08.2011	14	7	4	3
26.07.2011	8	5	0	5
17.05.2011	10	4	2	2
03.05.2011	10	8	4	4
27.04.2011	7	6	1	5
29.03.2011	8	7	5	2
17.05.2011	9	9	8	1
27.04.2011	10	10	7	3
29.03.2011	6	6	4	2
01.02.2011	9	9	3	6
21.12.2010	9	8	5	3
23.11.2010	5	5	3	2
26.10.2010	7	10	4	6
16.11.2010	6	4	4	0
26.10.2010	7	8	5	3
19.04.2011	6	0	0	0
29.03.2011	8	9	6	3
16.11.2010	10	2	2	0
30.05.2011	6	8	4	4
01.02.2011	5	4	4	0
14.12.2010	6	4	0	4
04.01.2011	5	5	2	3
21.12.2010	7	7	5	2
30.11.2010	10	11	5	6
10.05.2011	4	3	2	1
08.02.2011	3	3	1	2
04.01.2011	8	8	4	4
16.11.2010	11	2	1	1
21.12.2010	7	7	3	4
09.11.2010	10	9	5	4
04.01.2011	4	4	2	2
14.12.2010	9	9	5	4
09.11.2010	2	2	1	1
19.04.2011	2	4	4	0
04.01.2011	7	7	5	2
09.11.2010	6	9	4	5
09.11.2010	9	10	9	1
29.03.2011	5	5	3	2
01.03.2011	8	7	5	2
25.01.2011	5	5	0	5
22.12.2010	10	10	0	0
16.11.2010	9	9	5	4
19.10.2010	9	8	3	5
22.08.2011	6	7	6	1
10.05.2011	7	5	4	1
19.04.2011	4	4	2	2
01.03.2011	7	7	4	3
08.02.2011	4	2	1	1
28.12.2010	10	7	5	2
30.11.2010	9	9	5	4
26.10.2010	8	8	4	4
10.05.2011	5	5	2	3
29.03.2011	5	7	3	4
01.03.2011	5	5	3	2
09.02.2011	7	9	6	3
21.12.2010	7	8	5	3
30.11.2010	8	8	5	3
02.11.2010	6	3	3	0
22.05.2012	6	5	3	2
