bitrh_dates	pups_born	pups_beforeW	weaned_f	weaned_m
01.11.2017	7	7	1	6
01.01.2018	7	7	5	2
20.11.2017	4	4	3	1
01.11.2017	7	7	4	3
13.08.2018	10	9	1	1
04.07.2018	7	7	3	4
21.05.2018	7	7	3	4
20.03.2018	6	6	3	1
25.11.2017	3	3	1	2
01.11.2017	4	4	2	2
15.08.2018	7	7	2	2
20.07.2018	7	7	1	6
27.06.2018	7	8	4	2
26.05.2018	2	2	0	0
26.04.2018	3	3	1	2
03.04.2018	6	6	4	2
28.04.2018	4	4	2	2
10.04.2018	5	5	3	2
26.08.2018	8	8	8	0
11.07.2018	7	7	7	0
26.08.2018	8	8	0	8
12.07.2018	7	7	3	4
02.11.2017	6	6	5	1
21.07.2017	5	5	3	2
15.07.2017	5	5	0	0
17.05.2017	8	8	1	7
