bitrh_dates,pups_born,pups_beforeW,weaned_f,weaned_m
03.09.2007,7,7,2,5
12.09.2007,6,6,4,2
21.09.2007,4,4,2,2
12.09.2007,7,7,4,3
12.09.2007,6,6,2,4
12.09.2007,6,6,2,4
12.09.2007,2,2,2,0
12.09.2007,6,6,4,2
11.09.2007,1,1,1,0
06.09.2007,7,7,5,2
06.09.2007,7,7,5,2
06.09.2007,5,5,2,3
16.08.2007,5,5,2,3
16.08.2007,6,6,2,4
16.08.2007,6,6,1,5
15.08.2007,4,0,0,0
15.08.2007,8,8,4,4
15.08.2007,6,6,6,0
22.08.2007,6,6,2,4
25.08.2007,10,0,0,0
26.08.2007,13,0,0,0
13.08.2007,5,5,4,1
13.08.2007,3,3,1,2
13.08.2007,7,7,3,4
07.08.2007,8,8,4,4
07.08.2007,2,2,0,2
13.08.2007,6,6,2,4
13.08.2007,8,8,2,6
13.08.2007,3,3,2,1
09.08.2007,2,2,1,1
07.08.2007,5,5,2,3
09.08.2007,6,6,2,4
18.01.2008,4,4,4,0
29.10.2007,7,7,3,4
24.10.2007,9,9,7,2
10.10.2007,1,1,1,0
23.10.2007,7,7,3,4
23.10.2007,10,10,4,6
24.10.2007,5,5,1,4
06.11.2007,4,4,3,1
05.11.2007,10,8,5,3
05.11.2007,11,10,5,5
26.08.2007,15,0,0,0
12.06.2007,4,4,2,2
26.08.2007,5,0,0,0
05.07.2007,5,5,3,2
18.07.2007,4,4,2,2
30.07.2007,6,6,4,2
30.07.2007,6,3,1,2
25.07.2007,10,10,7,3
25.07.2007,3,3,2,1
02.08.2007,4,7,5,2
02.08.2007,6,6,5,1
02.08.2007,2,2,1,1
02.08.2007,9,9,5,4
23.07.2007,7,7,1,6
25.07.2007,4,4,1,3
15.11.2008,4,4,4,0
25.10.2008,16,7,5,2
05.10.2008,10,10,6,4
26.07.2008,10,10,8,0
15.06.2008,3,3,3,0
16.11.2008,6,10,5,5
21.09.2008,9,9,9,0
20.08.2008,12,6,6,0
01.08.2008,7,7,7,0
06.07.2008,7,7,7,0
16.06.2008,7,7,7,0
01.11.2008,14,14,7,0
15.09.2008,5,5,5,0
20.08.2008,15,7,7,0
27.07.2008,9,9,9,0
03.07.2008,9,9,9,0
03.06.2008,8,8,8,0
15.11.2008,4,4,4,0
18.10.2008,12,12,2,0
03.10.2008,7,7,3,4
02.09.2008,18,18,10,0
10.08.2008,18,18,9,9
05.07.2008,7,7,7,0
