bitrh_dates,pups_born,pups_beforeW,weaned_f,weaned_m
22.09.2012,1,1,1,0
08.07.2012,12,12,4,8
19.06.2012,2,2,2,0
26.05.2012,9,9,9,0
09.04.2012,6,6,6,0
26.03.2012,2,2,1,1
26.03.2012,10,10,3,7
27.02.2012,3,3,3,0
27.02.2012,6,6,6,0
27.11.2012,3,3,3,0
08.09.2012,3,3,3,0
28.07.2012,6,6,6,0
08.07.2012,5,5,4,1
03.05.2012,6,6,6,0
09.04.2012,2,2,2,0
27.02.2012,1,1,1,0
26.05.2012,8,8,8,0
03.05.2012,5,5,5,0
12.04.2012,6,6,6,0
27.02.2012,5,5,5,0
08.07.2012,11,11,6,5
10.06.2012,9,9,9,0
26.05.2012,6,6,6,0
09.04.2012,6,6,6,0
27.02.2012,7,7,7,0
08.07.2012,2,2,2,0
10.06.2012,4,4,4,0
26.05.2012,7,7,7,0
12.04.2012,7,7,7,0
27.02.2012,5,5,5,0
28.07.2012,3,3,3,0
08.07.2012,9,9,6,3
10.06.2012,5,5,5,0
26.03.2012,8,8,8,0
03.05.2012,3,3,3,0
12.04.2012,2,2,2,0
27.02.2012,6,6,6,0
08.09.2012,6,6,6,0
28.07.2012,6,6,6,0
10.06.2012,12,12,5,7
26.05.2012,9,9,5,4
12.04.2012,2,2,2,0
26.03.2012,5,5,3,2
27.02.2012,7,7,7,0
08.09.2012,2,2,2,0
27.07.2012,6,6,5,1
09.04.2012,5,5,5,0
27.02.2012,3,3,3,0
08.09.2012,4,4,4,0
28.07.2012,10,10,9,0
08.07.2012,7,7,3,4
19.06.2012,8,8,8,0
09.04.2012,6,6,6,0
27.02.2012,2,2,2,0
04.02.2011,7,7,5,2
25.12.2010,11,11,5,6
28.10.2010,5,5,5,0
19.01.2011,8,8,3,5
04.02.2011,6,6,4,2
19.01.2011,2,2,2,0
24.12.2010,14,14,6,8
13.11.2010,5,5,5,0
18.10.2010,6,6,6,0
19.01.2011,2,2,2,0
28.10.2010,4,4,4,0
19.01.2011,2,2,2,0
28.10.2010,7,7,7,0
04.02.2011,4,4,2,2
19.01.2011,10,10,7,3
10.12.2010,4,4,4,0
13.11.2010,3,3,3,0
28.10.2010,7,7,7,0
28.10.2010,9,9,9,0
14.02.2011,4,4,4,0
19.01.2011,7,7,7,0
13.11.2010,3,3,3,0
25.12.2010,15,15,8,7
28.10.2010,7,7,7,0
28.10.2010,5,5,5,0
25.12.2010,13,13,8,5
14.02.2011,2,2,2,0
19.01.2011,6,6,6,0
10.12.2010,5,5,5,0
28.10.2010,6,6,6,0
14.02.2011,2,2,2,0
19.01.2011,2,2,2,0
24.12.2010,15,15,7,8
29.10.2010,8,8,8,0
04.02.2011,15,15,8,7
19.01.2011,4,4,4,0
10.12.2010,7,7,7,0
28.10.2010,6,6,6,0
10.12.2010,9,9,9,0
28.10.2010,6,6,6,0
04.02.2011,12,12,8,4
10.12.2010,4,3,3,0
28.10.2010,4,4,4,0
13.11.2010,5,5,5,0
18.10.2010,5,5,5,0
14.02.2011,6,6,6,0
19.01.2011,12,12,7,5
10.12.2010,5,5,5,0
28.10.2010,6,6,6,0
04.02.2011,4,4,0,4
10.12.2010,6,6,6,0
14.11.2010,4,4,4,0
18.10.2010,3,3,3,0
19.01.2011,4,4,4,0
10.12.2010,8,8,8,0
13.11.2010,5,5,5,0
09.09.2011,4,4,4,0
24.07.2011,12,12,5,7
18.06.2011,9,9,9,0
13.05.2011,6,6,6,0
13.05.2011,7,7,0,7
13.04.2011,4,4,4,0
03.08.2011,7,7,6,0
07.07.2011,7,7,7,0
13.04.2011,5,5,5,0
24.07.2011,10,10,10,0
18.06.2011,5,5,5,0
01.05.2011,4,4,4,0
13.04.2011,7,7,7,0
12.10.2011,13,13,5,8
09.09.2011,9,9,3,6
07.07.2011,5,5,5,0
10.06.2011,8,8,8,0
01.05.2011,4,4,4,0
13.04.2011,12,12,4,8
08.07.2012,3,3,1,2
26.05.2012,2,2,0,2
03.05.2012,1,1,1,0
26.03.2012,1,1,0,1
25.09.2011,3,3,3,0
27.07.2011,4,4,4,0
07.07.2011,3,3,3,0
10.06.2011,4,4,4,0
13.05.2011,6,6,6,0
01.05.2011,5,5,5,0
13.04.2011,6,6,6,0
12.10.2011,10,10,6,4
25.09.2011,5,5,5,0
04.08.2011,9,9,5,4
07.07.2011,6,6,6,0
10.06.2011,7,7,7,0
13.05.2011,4,4,4,0
01.05.2011,7,7,7,0
13.04.2011,7,7,7,0
09.09.2011,4,4,4,0
24.07.2011,6,6,6,0
07.07.2011,3,3,3,0
13.05.2011,4,4,4,0
13.04.2011,8,8,8,0
12.10.2011,2,2,2,0
09.09.2011,5,4,4,0
20.07.2011,4,4,4,0
13.04.2011,6,6,5,0
12.10.2011,6,6,6,0
24.07.2011,2,2,2,0
07.07.2011,3,3,3,0
10.06.2011,4,4,4,0
13.05.2011,4,4,4,0
13.04.2011,6,6,6,0
09.08.2011,8,8,2,6
03.08.2011,4,4,4,0
07.07.2011,4,4,4,0
03.12.2011,8,8,8,0
28.10.2011,3,3,3,0
12.10.2011,14,14,7,7
11.06.2011,7,7,7,0
13.05.2011,4,4,4,0
12.05.2011,5,5,0,5
13.04.2011,2,2,2,0
09.09.2011,4,4,4,0
27.07.2011,8,8,8,0
10.06.2011,4,4,4,0
13.05.2011,4,4,4,0
13.05.2011,8,8,0,8
13.04.2011,8,8,8,0
03.12.2011,5,5,5,0
09.09.2011,6,6,1,5
27.07.2011,7,7,7,0
07.07.2011,6,6,6,0
18.06.2011,3,3,2,0
13.04.2011,6,6,6,0
25.07.2011,6,6,6,0
18.06.2011,8,8,8,0
13.04.2011,6,6,6,0
11.11.2011,2,2,2,0
12.10.2011,2,2,2,0
25.09.2011,6,6,6,0
27.07.2011,9,9,9,0
11.06.2011,1,1,1,0
13.05.2011,4,4,4,0
13.04.2011,5,5,5,0
02.11.2011,3,3,3,0
25.09.2011,5,5,5,0
07.07.2011,7,7,7,0
13.04.2011,8,8,8,0
25.09.2011,4,4,4,0
09.09.2011,5,5,5,0
07.07.2011,11,11,11,0
13.05.2011,10,10,10,0
13.05.2011,5,5,0,5
13.04.2011,6,6,6,0
01.05.2011,3,3,3,0
11.11.2011,10,10,4,6
12.10.2011,5,5,5,0
09.09.2011,9,9,7,2
03.08.2011,4,4,4,0
01.06.2011,4,4,4,0
01.05.2011,7,7,7,0
13.04.2011,5,5,5,0
28.10.2011,5,5,5,0
25.09.2011,8,9,9,0
03.08.2011,7,7,7,0
07.07.2011,7,7,7,0
10.06.2011,6,6,6,0
13.04.2011,2,2,2,0
19.02.2013,12,4,4,0
01.02.2013,18,8,8,0
28.12.2012,15,15,7,8
01.07.2013,6,1,1,0
19.06.2013,8,9,2,7
